Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,122.330002,122.629997,121.839996,121.849998,4734000,108.329624
2011-12-29,121.519997,122.68,121.459999,122.519997,5133600,108.925279
2011-12-28,122.660004,122.720001,121.129997,121.25,3871400,107.7962
2011-12-27,122.480003,123.00,122.400002,122.669998,3878700,109.058637
2011-12-23,121.699997,122.68,121.50,122.629997,2281300,109.023074
2011-12-22,121.139999,121.550003,120.910004,121.529999,4202800,108.045131
2011-12-21,120.800003,120.870003,119.690002,120.809998,6679800,107.40502
2011-12-20,119.110001,120.879997,119.07,120.68,7867300,107.289447
2011-12-19,118.650002,118.980003,117.050003,117.360001,7977500,104.337832
2011-12-16,119.099998,119.400002,117.889999,118.220001,7758400,105.102408
2011-12-15,119.589996,119.75,118.580002,118.809998,5261400,105.310439
2011-12-14,119.080002,119.489998,117.910004,118.32,10062700,104.876117
2011-12-13,120.910004,121.489998,119.050003,119.510002,7761800,105.930907
2011-12-12,120.910004,120.959999,119.379997,120.239998,6291500,106.577959
2011-12-09,120.470001,122.110001,120.410004,121.779999,8999200,107.94298
2011-12-08,121.50,121.809998,119.639999,119.940002,9595600,106.31205
2011-12-07,121.059998,122.57,120.580002,122.07,9026700,108.20003
2011-12-06,120.959999,122.089996,120.68,121.389999,7062300,107.597293
2011-12-05,121.769997,121.849998,120.209999,120.949997,6285400,107.207285
2011-12-02,121.220001,121.400002,120.00,120.059998,5584400,106.418411
2011-12-01,120.010002,120.550003,119.660004,120.129997,5437700,106.480457
2011-11-30,118.410004,120.389999,118.410004,120.190002,11581500,106.533644
2011-11-29,115.32,116.18,115.110001,115.559998,5325400,102.429714
2011-11-28,114.779999,115.480003,114.309998,115.099998,6666100,102.021982
2011-11-25,112.279999,113.459999,112.139999,112.139999,3532100,99.398307
2011-11-23,113.75,113.889999,112.330002,112.330002,7988400,99.566721
2011-11-22,114.980003,115.529999,114.129997,114.739998,8396900,101.702886
2011-11-21,116.110001,116.32,114.279999,115.160004,18829600,102.075169
2011-11-18,117.959999,118.300003,117.290001,117.730003,8307400,104.353157
2011-11-17,119.059998,119.510002,116.790001,117.830002,10984300,104.189176
2011-11-16,119.870003,121.139999,118.910004,119.099998,7142200,105.312149
2011-11-15,120.379997,121.580002,119.93,120.870003,6467700,106.877245
2011-11-14,121.330002,121.57,120.18,120.709999,7391200,106.735764
2011-11-11,120.239998,121.709999,120.220001,121.529999,7260300,107.460835
2011-11-10,118.959999,119.550003,117.879997,118.889999,9960400,105.126461
2011-11-09,119.330002,119.669998,117.239998,117.690002,12096200,104.065384
2011-11-08,121.010002,121.75,119.900002,121.589996,7383200,107.513887
2011-11-07,119.519997,120.50,118.550003,120.449997,8694400,106.505862
2011-11-04,119.400002,119.68,118.239998,119.599998,7021900,105.754265
2011-11-03,119.230003,120.410004,118.160004,120.190002,12007500,106.275966
2011-11-02,117.800003,118.519997,117.169998,118.129997,7605000,104.454442
2011-11-01,116.900002,117.669998,116.029999,116.379997,15120600,102.907034
2011-10-31,120.75,120.919998,119.269997,119.339996,13398600,105.524363
2011-10-28,121.580002,122.239998,121.360001,122.040001,6666900,107.911796
2011-10-27,121.080002,122.580002,120.449997,121.940002,12948500,107.823374
2011-10-26,118.379997,118.660004,116.68,118.410004,9938700,104.702033
2011-10-25,118.220001,118.360001,116.57,116.790001,9405200,103.269573
2011-10-24,118.169998,119.160004,118.010002,118.879997,8407500,105.117616
2011-10-21,116.449997,117.879997,116.43,117.849998,13012000,104.206857
2011-10-20,115.07,115.769997,113.839996,115.330002,7944500,101.815008
2011-10-19,115.470001,116.25,114.580002,114.949997,15286300,101.479534
2011-10-18,113.540001,116.419998,112.830002,115.510002,11694400,101.973915
2011-10-17,115.839996,115.879997,113.639999,113.900002,8397900,100.552583
2011-10-14,115.82,116.349998,115.160004,116.339996,5256900,102.706646
2011-10-13,114.529999,115.010002,113.639999,114.660004,5493900,101.223524
2011-10-12,114.769997,116.120003,114.410004,114.989998,7855800,101.514847
2011-10-11,113.620003,114.349998,113.529999,114.010002,7836000,100.649693
2011-10-10,112.599998,114.239998,112.589996,114.209999,7176500,100.826253
2011-10-07,111.870003,112.209999,110.379997,111.019997,10022000,98.010072
2011-10-06,109.300003,111.209999,108.470001,111.089996,8534300,98.071869
2011-10-05,107.849998,109.410004,107.260002,109.279999,9967000,96.473977
2011-10-04,105.080002,108.089996,103.839996,107.720001,18100000,95.096788
2011-10-03,108.209999,109.610001,106.300003,106.360001,13520400,93.89616
2011-09-30,109.809998,111.160004,108.870003,108.93,10338600,96.164993
2011-09-29,111.870003,112.50,109.43,111.379997,13212200,98.327886
2011-09-28,112.099998,112.959999,109.739998,109.830002,11260200,96.959528
2011-09-27,112.410004,113.449997,111.089996,111.709999,13564400,98.619217
2011-09-26,108.410004,110.330002,107.480003,110.239998,11476000,97.321478
2011-09-23,106.440002,107.870003,106.129997,107.449997,12056800,94.858425
2011-09-22,107.949997,108.400002,105.720001,107.07,19744500,94.522957
2011-09-21,113.93,114.230003,110.879997,110.949997,14933100,97.948276
2011-09-20,114.260002,115.260002,113.480003,113.879997,8070700,100.534923
2011-09-19,113.099998,114.220001,112.290001,113.720001,9727400,100.393676
2011-09-16,114.610001,115.129997,113.809998,114.860001,12330800,101.400084
2011-09-15,113.43,114.330002,112.830002,114.260002,9646000,100.68501
2011-09-14,111.489998,113.830002,109.870003,112.400002,14634500,99.045992
2011-09-13,110.68,111.370003,109.82,110.919998,10836700,97.741825
2011-09-12,108.370003,110.550003,108.150002,110.510002,10062000,97.38054
2011-09-09,111.639999,111.699997,109.220001,109.82,11877700,96.772515
2011-09-08,113.379997,114.68,112.730003,112.870003,7772800,99.460153
2011-09-07,112.739998,114.019997,112.400002,113.940002,7271500,100.403029
2011-09-06,109.400002,111.459999,109.18,111.209999,10881100,97.997371
2011-09-02,112.739998,113.279999,111.949997,112.279999,9426300,98.940247
2011-09-01,116.089996,117.029999,114.720001,114.870003,7690900,101.222538
2011-08-31,116.160004,116.970001,115.120003,115.949997,8390900,102.17422
2011-08-30,114.830002,116.160004,114.129997,115.349998,10480300,101.645506
2011-08-29,113.970001,115.199997,113.919998,115.139999,7117800,101.460456
2011-08-26,110.720001,113.07,109.089996,112.699997,13140300,99.310346
2011-08-25,113.389999,113.779999,110.809998,111.260002,10391700,98.041434
2011-08-24,111.25,113.07,110.910004,112.949997,9256900,99.530644
2011-08-23,108.849998,111.470001,108.43,111.370003,12374800,98.138365
2011-08-22,110.18,110.300003,108.010002,108.300003,11314800,95.433106
2011-08-19,108.290001,110.629997,107.769997,107.910004,15277500,95.089441
2011-08-18,111.599998,111.699997,109.010002,110.07,18143700,96.623591
2011-08-17,114.699997,115.459999,113.379997,114.260002,9350200,100.301733
2011-08-16,113.940002,114.910004,112.970001,114.080002,10846800,100.143722
2011-08-15,113.779999,114.879997,113.440002,114.809998,13586200,100.784539
2011-08-12,112.489998,113.489998,111.580002,112.800003,14097500,99.02009
2011-08-11,108.199997,112.82,107.830002,111.25,17393500,97.659439
2011-08-10,110.220001,110.669998,106.870003,107.169998,27711600,94.07786
2011-08-09,109.660004,112.379997,105.940002,112.370003,32097800,98.64262
2011-08-08,111.269997,113.029999,108.019997,108.07,30395700,94.867915
2011-08-05,115.129997,115.559998,111.260002,114.25,30450400,100.292952
2011-08-04,117.32,117.57,113.559998,113.709999,19368300,99.818919
2011-08-03,118.599998,118.889999,116.830002,118.800003,16594800,104.287116
2011-08-02,120.32,121.00,118.419998,118.459999,9644500,103.988648
2011-08-01,122.739998,122.959999,119.769997,121.110001,11630000,106.314919
2011-07-29,121.080002,122.230003,120.639999,121.129997,16015400,106.332473
2011-07-28,122.82,123.660004,122.07,122.279999,7454600,107.341988
2011-07-27,124.370003,124.389999,122.690002,122.839996,7558600,107.833575
2011-07-26,125.360001,125.529999,124.669998,124.830002,7202900,109.580476
2011-07-25,125.339996,126.339996,125.129997,125.760002,5236200,110.396866
2011-07-22,126.879997,127.019997,126.220001,126.599998,5848500,111.134246
2011-07-21,126.029999,127.300003,125.730003,127.029999,6881400,111.511717
2011-07-20,125.769997,125.830002,125.260002,125.459999,3291800,110.133512
2011-07-19,124.400002,125.82,124.32,125.629997,5848000,110.282743
2011-07-18,123.900002,124.019997,122.720001,123.620003,6150200,108.518294
2011-07-15,124.709999,124.769997,123.779999,124.559998,7853000,109.343457
2011-07-14,124.889999,125.669998,123.970001,124.209999,6517000,108.937896
2011-07-13,124.959999,125.940002,124.489998,124.800003,7366800,109.455357
2011-07-12,124.860001,125.540001,124.309998,124.330002,12501300,109.043144
2011-07-11,125.169998,125.459999,124.540001,124.949997,6931200,109.586909
2011-07-08,126.029999,126.419998,125.50,126.389999,5987200,110.849857
2011-07-07,126.830002,127.370003,126.599998,127.099998,4400700,111.472559
2011-07-06,125.379997,126.260002,125.230003,126.089996,9795100,110.586741
2011-07-05,125.540001,125.809998,125.160004,125.489998,5324300,110.060514
2011-07-01,124.089996,125.720001,123.800003,125.580002,8692000,110.139452
2011-06-30,122.900002,124.019997,122.760002,123.830002,4754500,108.604621
2011-06-29,122.00,122.610001,121.489998,122.449997,5712400,107.394293
2011-06-28,120.629997,121.650002,120.489998,121.610001,4085500,106.657578
2011-06-27,119.269997,120.730003,119.080002,120.199997,4488800,105.42094
2011-06-24,120.230003,120.309998,118.989998,119.199997,6643300,104.543893
2011-06-23,119.620003,120.339996,118.489998,120.32,9033500,105.526187
2011-06-22,121.150002,121.809998,120.790001,120.809998,4702500,105.955938
2011-06-21,120.980003,121.910004,120.739998,121.589996,4744500,106.640033
2011-06-20,119.349998,120.739998,119.339996,120.540001,5679800,105.719139
2011-06-17,120.230003,120.470001,119.43,119.739998,7742000,105.017499
2011-06-16,118.839996,119.849998,118.690002,119.529999,7469900,104.650896
2011-06-15,119.650002,120.059998,118.550003,118.879997,20958800,104.081807
2011-06-14,120.25,121.139999,120.209999,120.699997,4853100,105.675253
2011-06-13,119.730003,120.040001,119.089996,119.459999,5363200,104.58961
2011-06-10,120.650002,120.739998,119.209999,119.370003,7384800,104.510817
2011-06-09,120.589996,121.68,120.43,121.120003,4024900,106.042976
2011-06-08,120.410004,120.830002,120.080002,120.300003,6860100,105.32505
2011-06-07,121.279999,121.599998,120.470001,120.489998,3834600,105.491395
2011-06-06,121.099998,121.339996,120.510002,120.730003,4679000,105.701524
2011-06-03,120.879997,122.00,120.839996,121.32,6224000,106.218078
2011-06-02,122.760002,122.870003,121.720001,122.300003,8832200,107.07609
2011-06-01,125.129997,125.18,122.620003,122.699997,8218900,107.426293
2011-05-31,125.330002,125.550003,124.599998,125.50,5290000,109.877751
2011-05-27,124.18,124.650002,123.980003,124.230003,4402800,108.765844
2011-05-26,123.410004,124.169998,122.919998,123.800003,6190400,108.38937
2011-05-25,122.839996,124.129997,122.800003,123.650002,4110900,108.258041
2011-05-24,123.809998,123.959999,123.209999,123.300003,4244400,107.95161
2011-05-23,123.220001,123.879997,123.029999,123.519997,5901700,108.144219
2011-05-20,125.510002,125.660004,124.57,124.849998,6881200,109.308662
2011-05-19,126.110001,126.480003,125.459999,126.18,4714900,110.110642
2011-05-18,124.889999,125.849998,124.559998,125.709999,4534600,109.700497
2011-05-17,124.93,125.260002,123.849998,124.809998,25391000,108.915113
2011-05-16,125.57,126.419998,125.290001,125.470001,4399900,109.491063
2011-05-13,126.980003,127.120003,125.410004,125.959999,6677500,109.918659
2011-05-12,125.959999,127.160004,125.370003,126.989998,6684200,110.817484
2011-05-11,127.199997,127.25,125.739998,126.309998,7813600,110.224084
2011-05-10,126.959999,127.669998,126.809998,127.449997,4179600,111.218901
2011-05-09,126.239998,127.07,126.040001,126.709999,5464900,110.573144
2011-05-06,126.730003,127.440002,125.830002,126.269997,9866400,110.189177
2011-05-05,126.580002,126.839996,125.00,125.639999,11362900,109.639412
2011-05-04,127.669998,127.760002,126.510002,126.970001,8253900,110.800034
2011-05-03,127.760002,128.179993,127.269997,127.82,7708200,111.541783
2011-05-02,128.600006,128.630005,127.620003,127.839996,10518700,111.559233
2011-04-29,127.559998,128.119995,127.540001,128.039993,11425900,111.73376
2011-04-28,126.559998,127.540001,126.540001,127.419998,11788000,111.192723
2011-04-27,125.879997,126.870003,125.669998,126.690002,5703800,110.555694
2011-04-26,124.790001,125.879997,124.650002,125.699997,6200000,109.691769
2011-04-25,124.660004,124.709999,124.209999,124.550003,4441200,108.688229
2011-04-21,124.629997,124.809998,124.190002,124.790001,4019100,108.897663
2011-04-20,123.93,124.529999,123.760002,124.339996,6708700,108.504968
2011-04-19,121.959999,122.489998,121.730003,122.389999,5007200,106.803308
2011-04-18,121.830002,121.879997,120.650002,121.739998,10033200,106.236086
2011-04-15,122.879997,123.419998,122.449997,123.190002,5299500,107.501429
2011-04-14,121.970001,122.889999,121.459999,122.720001,4338300,106.993544
2011-04-13,123.169998,123.209999,122.080002,122.550003,4278200,106.845331
2011-04-12,122.919998,123.099998,122.169998,122.459999,5161400,106.766861
2011-04-11,123.790001,124.279999,123.360001,123.639999,5467500,107.795646
2011-04-08,124.290001,124.349998,123.050003,123.650002,6080300,107.804366
2011-04-07,124.040001,124.25,123.110001,123.910004,6542200,108.031049
2011-04-06,124.209999,124.360001,123.800003,124.169998,4246000,108.257726
2011-04-05,123.519997,124.139999,123.260002,123.650002,8523300,107.804366
2011-04-04,123.639999,123.839996,123.449997,123.760002,6278900,107.90027
2011-04-01,123.589996,123.949997,123.139999,123.459999,5203200,107.638712
2011-03-31,123.18,123.559998,122.949997,123.019997,4355100,107.255096
2011-03-30,123.00,123.580002,122.940002,123.209999,4100800,107.42075
2011-03-29,121.739998,122.599998,121.489998,122.510002,6025800,106.810457
2011-03-28,122.110001,122.459999,121.699997,121.760002,2663400,106.156568
2011-03-25,121.699997,122.330002,121.599998,121.959999,6604100,106.330936
2011-03-24,121.25,121.650002,120.720001,121.459999,4827100,105.89501
2011-03-23,119.68,120.910004,119.440002,120.629997,6693400,105.171373
2011-03-22,120.150002,120.239998,119.769997,119.919998,6360500,104.552359
2011-03-21,119.550003,120.519997,119.550003,120.07,7615000,104.683138
2011-03-18,118.830002,119.010002,118.00,118.269997,10498900,103.113804
2011-03-17,117.449997,117.980003,116.910004,117.690002,7902300,102.411095
2011-03-16,117.989998,118.209999,115.510002,116.160004,16469000,101.079726
2011-03-15,117.099998,119.129997,116.919998,118.43,14786600,103.055024
2011-03-14,119.769997,120.110001,118.919998,119.849998,8026700,104.290673
2011-03-11,119.269997,120.839996,119.220001,120.419998,10479900,104.786673
2011-03-10,120.949997,121.050003,119.620003,119.730003,15698000,104.186256
2011-03-09,121.870003,122.459999,121.449997,122.010002,7819900,106.170258
2011-03-08,120.870003,122.389999,120.580002,121.989998,8009200,106.15285
2011-03-07,121.769997,122.260002,120.209999,120.709999,8355500,105.039025
2011-03-04,122.43,122.529999,120.599998,121.470001,10366700,105.700362
2011-03-03,121.440002,122.660004,121.43,122.360001,7297200,106.474818
2011-03-02,120.25,120.980003,120.00,120.449997,8298400,104.812778
2011-03-01,122.400002,122.480003,120.370003,120.370003,9666700,104.743169
2011-02-28,121.50,122.18,121.440002,122.150002,5759600,106.292082
2011-02-25,120.940002,121.330002,120.739998,121.139999,5649800,105.413202
2011-02-24,120.769997,121.040001,119.559998,120.419998,12247300,104.786673
2011-02-23,121.669998,121.769997,120.360001,120.849998,14461100,105.16085
2011-02-22,122.870003,123.279999,121.489998,121.889999,9844300,106.065834
2011-02-18,122.970001,123.639999,122.82,123.599998,6320900,107.553835
2011-02-17,122.650002,123.339996,122.57,123.160004,4856500,106.909912
2011-02-16,122.489998,123.059998,122.370003,122.879997,5680000,106.666851
2011-02-15,122.339996,122.370003,121.879997,122.199997,4854700,106.076572
2011-02-14,122.489998,122.709999,122.300003,122.610001,4093900,106.432478
2011-02-11,121.82,122.760002,121.709999,122.650002,6887200,106.467201
2011-02-10,121.769997,122.25,121.43,122.169998,7202200,106.050531
2011-02-09,122.110001,122.400002,121.75,122.279999,7682100,106.146018
2011-02-08,121.449997,122.220001,121.330002,122.139999,6032000,106.02449
2011-02-07,120.879997,121.650002,120.849998,121.349998,7317100,105.338724
2011-02-04,120.370003,120.690002,120.019997,120.690002,5191300,104.76581
2011-02-03,120.029999,120.57,119.559998,120.370003,6338100,104.488032
2011-02-02,119.889999,120.32,119.889999,120.099998,4231200,104.253653
2011-02-01,119.160004,120.230003,119.080002,120.089996,7626900,104.244971
2011-01-31,118.25,118.650002,117.879997,118.599998,8965000,102.951567
2011-01-28,119.660004,119.860001,117.760002,118.019997,17156100,102.448093
2011-01-27,119.620003,119.93,119.449997,119.639999,7393200,103.854348
2011-01-26,119.550003,119.940002,119.339996,119.610001,9154100,103.828307
2011-01-25,119.300003,119.589996,118.709999,119.489998,10474000,103.724138
2011-01-24,118.360001,119.580002,118.339996,119.559998,12299400,103.784901
2011-01-21,118.709999,118.800003,117.970001,118.459999,9663000,102.83004
2011-01-20,117.839996,118.339996,117.330002,118.120003,10935600,102.4099
2011-01-19,118.349998,118.489998,117.860001,118.160004,9080300,102.44458
2011-01-18,117.760002,118.43,117.739998,118.230003,4665700,102.50527
2011-01-14,116.879997,117.769997,116.809998,117.690002,5885800,102.03709
2011-01-13,117.370003,117.379997,116.82,117.199997,6056800,101.612256
2011-01-12,117.150002,117.650002,117.010002,117.400002,5255800,101.785659
